product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
ICED | Caramel Macchiato (M),ICED | Caramel Macchiato (M),ICE_CARAMEL_MACCHIATO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Caramel Macchiato (M),ICED | Caramel Macchiato (M),ICE_CARAMEL_MACCHIATO_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Caramel Macchiato (M),ICED | Caramel Macchiato (M),ICE_CARAMEL_MACCHIATO_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Mocha (M),ICED | Mocha (M),ICE_MOCHA_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Mocha (M),ICED | Mocha (M),ICE_MOCHA_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Mocha (M),ICED | Mocha (M),ICE_MOCHA_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | V60 (M),ICED | V60 (M),ICE_V60_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | V60 (M),ICED | V60 (M),ICE_V60_M,Extra,اضافي,Extra,0,10,0,,1
ICED | V60 (M),ICED | V60 (M),ICE_V60_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Spanish Latte (M),ICED | Spanish Latte (M),ICE_SPANISH_LATTE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Spanish Latte (M),ICED | Spanish Latte (M),ICE_SPANISH_LATTE_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Spanish Latte (M),ICED | Spanish Latte (M),ICE_SPANISH_LATTE_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Flat White (M),ICED | Flat White (M),ICE_FLAT_WHITE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Flat White (M),ICED | Flat White (M),ICE_FLAT_WHITE_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Flat White (M),ICED | Flat White (M),ICE_FLAT_WHITE_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Cortado (M),ICED | Cortado (M),ICE_CORTADO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Cortado (M),ICED | Cortado (M),ICE_CORTADO_M,Extra,اضافي,Extra,0,10,0,,1
ICED | Cortado (M),ICED | Cortado (M),ICE_CORTADO_M,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Black Spanish (L),ICED | Black Spanish (L),ICE_BLACK_SPANISH_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Black Spanish (L),ICED | Black Spanish (L),ICE_BLACK_SPANISH_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Black Coffee (L),ICED | Black Coffee (L),ICE_BLACK_COFFEE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Black Coffee (L),ICED | Black Coffee (L),ICE_BLACK_COFFEE_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Black Coffee (L),ICED | Black Coffee (L),ICE_BLACK_COFFEE_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Cappuccino (L),ICED | Cappuccino (L),ICE_CAPPUCCINO_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Cappuccino (L),ICED | Cappuccino (L),ICE_CAPPUCCINO_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Cappuccino (L),ICED | Cappuccino (L),ICE_CAPPUCCINO_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Latte (L),ICED | Latte (L),ICE_LATTE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Latte (L),ICED | Latte (L),ICE_LATTE_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Latte (L),ICED | Latte (L),ICE_LATTE_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Caramel Macchiato (L),ICED | Caramel Macchiato (L),ICE_CARAMEL_MACCHIATO_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Caramel Macchiato (L),ICED | Caramel Macchiato (L),ICE_CARAMEL_MACCHIATO_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Caramel Macchiato (L),ICED | Caramel Macchiato (L),ICE_CARAMEL_MACCHIATO_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Mocha (L),ICED | Mocha (L),ICE_MOCHA_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Mocha (L),ICED | Mocha (L),ICE_MOCHA_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Mocha (L),ICED | Mocha (L),ICE_MOCHA_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | V60 (L),ICED | V60 (L),ICE_V60_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | V60 (L),ICED | V60 (L),ICE_V60_L,Extra,اضافي,Extra,0,10,0,,1
ICED | V60 (L),ICED | V60 (L),ICE_V60_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Spanish Latte (L),ICED | Spanish Latte (L),ICE_SPANISH_LATTE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Spanish Latte (L),ICED | Spanish Latte (L),ICE_SPANISH_LATTE_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Spanish Latte (L),ICED | Spanish Latte (L),ICE_SPANISH_LATTE_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Flat White (L),ICED | Flat White (L),ICE_FLAT_WHITE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Flat White (L),ICED | Flat White (L),ICE_FLAT_WHITE_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Flat White (L),ICED | Flat White (L),ICE_FLAT_WHITE_L,Delivery,ديليفري,Delivery,1,1,0,,1
ICED | Cortado (L),ICED | Cortado (L),ICE_CORTADO_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
ICED | Cortado (L),ICED | Cortado (L),ICE_CORTADO_L,Extra,اضافي,Extra,0,10,0,,1
ICED | Cortado (L),ICED | Cortado (L),ICE_CORTADO_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Black Spanish (M),HOT | Black Spanish (M),HOT_BLACK_SPANISH_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Black Spanish (M),HOT | Black Spanish (M),HOT_BLACK_SPANISH_M,Delivery,ديليفري,Delivery,1,1,0,,1
